segments,segment,L_pu,U_pu,A_kg_per_MWh,B_kg_per_MWh
3,1,0.150000000000,0.389939939940,19.819895402816,0.393694134384
3,2,0.389939939940,0.673273273273,17.774561355871,1.191251569807
3,3,0.673273273273,1.000000000000,16.151165638784,2.284240518068
5,1,0.150000000000,0.288688688689,20.303135864192,0.321208065178
5,2,0.288688688689,0.443543543544,18.943577391330,0.713697217904
5,3,0.443543543544,0.612862862863,17.777880787636,1.230734420203
5,4,0.612862862863,0.798348348348,16.762621807600,1.852948945255
5,5,0.798348348348,1.000000000000,15.869177124517,2.566229032335
6,1,0.150000000000,0.264014014014,20.430633196058,0.302083465398
6,2,0.264014014014,0.389089089089,19.270480773630,0.608379963311
6,3,0.389089089089,0.525225225225,18.251846248165,1.004719542939
6,4,0.525225225225,0.672422422422,17.343661847835,1.481720899148
6,5,0.672422422422,0.830680680681,16.530690047117,2.028381366748
6,6,0.830680680681,1.000000000000,15.800322966087,2.635083190765
9,1,0.150000000000,0.224874874875,20.642363859329,0.270323865907
9,2,0.224874874875,0.304854854855,19.828205762507,0.453407566059
9,3,0.304854854855,0.389939939940,19.088311422977,0.678967947544
9,4,0.389939939940,0.479279279279,18.409037451284,0.943843999269
9,5,0.479279279279,0.573723723724,17.781708728352,1.244509657466
9,6,0.573723723724,0.673273273273,17.198378891223,1.579179823783
9,7,0.673273273273,0.777077077077,16.657616909733,1.943260413123
9,8,0.777077077077,0.885985985986,16.155393575969,2.333526653364
9,9,0.885985985986,1.000000000000,15.686029586429,2.749376570423
12,1,0.150000000000,0.205305305305,20.753159036698,0.253704589302
12,2,0.205305305305,0.264014014014,20.126804505600,0.382298497538
12,3,0.264014014014,0.325275275275,19.546426537382,0.535526414573
12,4,0.325275275275,0.389089089089,19.005572840427,0.711452749734
12,5,0.389089089089,0.455455455455,18.498121993821,0.908896337397
12,6,0.455455455455,0.525225225225,18.017583953516,1.127760009408
12,7,0.525225225225,0.597547547548,17.562099686290,1.366991836248
12,8,0.597547547548,0.672422422422,17.132670753873,1.623596041660
12,9,0.672422422422,0.749849849850,16.727341086462,1.896148798500
12,10,0.749849849850,0.830680680681,16.342319051534,2.184857513580
12,11,0.830680680681,0.914064064064,15.976271315065,2.488926296471
12,12,0.914064064064,1.000000000000,15.629600805692,2.805805351160
15,1,0.150000000000,0.194244244244,20.817410851339,0.244066817106
15,2,0.194244244244,0.240190190190,20.308256817231,0.342967057665
15,3,0.240190190190,0.287837837838,19.833170124147,0.457078220834
15,4,0.287837837838,0.337187187187,19.384984702164,0.586082943648
15,5,0.337187187187,0.389089089089,18.956190982254,0.730666691948
15,6,0.389089089089,0.441841841842,18.548108110552,0.889447284771
15,7,0.441841841842,0.496296296296,18.162049276657,1.060024230999
15,8,0.496296296296,0.553303303303,17.790585306327,1.244380423681
15,9,0.553303303303,0.612012012012,17.433239455434,1.442101063402
15,10,0.612012012012,0.672422422422,17.092004293983,1.650941081131
15,11,0.672422422422,0.734534534535,16.765949746054,1.870187470091
15,12,0.734534534535,0.798348348348,16.454177453900,2.099194985589
15,13,0.798348348348,0.863863863864,16.155810341712,2.337395876806
15,14,0.863863863864,0.931081081081,15.869993801834,2.584302457300
15,15,0.931081081081,1.000000000000,15.595902121653,2.839504035199
