segments,breakpoints,SSE,RMSE_kg_per_MWh,MAE_kg_per_MWh,max_abs_error_kg_per_MWh,RMSE_percent_of_rated_h,max_error_percent_of_rated_h,min_nonlinear_minus_pwl_kg_per_MWh,overestimating_master_points
3,0.15000000 0.38993994 0.67327327 1.00000000,2.184124459332055,0.046734617355147515,0.04255441451999946,0.06963893966521084,0.2535046798400867,0.3777456220530697,0.0,0
5,0.15000000 0.28868869 0.44354354 0.61286286 0.79834835 1.00000000,0.2836301098236668,0.01684132149873242,0.01533029899421266,0.02568783891545312,0.0913531351327067,0.1393396961091928,0.0,0
6,0.15000000 0.26401401 0.38908909 0.52522523 0.67242242 0.83068068 1.00000000,0.13683263568597637,0.011697548276710653,0.01065066802490916,0.017837390085441385,0.06345153547030964,0.09675615461724757,0.0,0
9,0.15000000 0.22487487 0.30485485 0.38993994 0.47927928 0.57372372 0.67327327 0.77707708 0.88598599 1.00000000,0.02704266429581777,0.005200256175979965,0.004733113351870438,0.008058843250552172,0.02820798268145087,0.04371394468874695,0.0,0
12,0.15000000 0.20530531 0.26401401 0.32527528 0.38908909 0.45545546 0.52522523 0.59754755 0.67242242 0.74984985 0.83068068 0.91406406 1.00000000,0.008558589573808971,0.002925506720862041,0.0026631695478803357,0.004509089693943036,0.015868957244398362,0.024458857350789058,0.0,0
15,0.15000000 0.19424424 0.24019019 0.28783784 0.33718719 0.38908909 0.44184184 0.49629630 0.55330330 0.61201201 0.67242242 0.73453453 0.79834835 0.86386386 0.93108108 1.00000000,0.003506659190265592,0.0018726075911054062,0.0017045390104032565,0.002928945616202494,0.01015766929772466,0.015887610998545104,0.0,0
