scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.1679389313,672,30238.23624117,3.02116362,0.00000000,64494.52267562,176463.38195540,64497.54383924,61082.56588013,5982189.87945598,2939.78833088,30238.23624178
2,0.0534351145,744,30238.23624117,852.07862298,0.00000000,70427.51161064,59758.34490424,71279.59023362,67498.72177889,6623138.79511200,12036.16612338,30238.23624137
3,0.1374045802,720,30238.23624117,0.00000000,0.00000000,68762.93793262,275822.81142691,68762.93793262,65104.03297643,6409489.15656005,10230.89351878,30238.23624158
4,0.1832061069,720,30238.23624117,95.77357429,0.00000000,68881.46166250,130830.05120237,68977.23523679,65318.33028060,6409489.15656006,1511.91181206,30238.23624178
5,0.2137404580,744,30238.23624117,0.05461939,0.00000000,71090.12361405,234650.28666034,71090.17823344,67309.30977871,6623138.79511205,13982.08422247,30238.23624137
6,0.0992366412,744,30238.23624117,0.00000000,0.00000000,71061.40299493,294865.69843428,71061.40299493,67280.53454020,6623138.79511204,12890.11147083,30238.23624158
7,0.1450381679,720,30238.23624117,0.00000000,0.00000000,68802.38454515,317062.71325069,68802.38454515,65143.47958896,6409489.15656005,13106.34731353,30238.23624158
