scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0687022901,744,27825.50276324,0.00000000,0.00000000,71205.37056358,155678.93440731,71205.37056358,67424.50210885,6623138.79511203,1391.27513796,27825.50276344
2,0.0687022901,720,27825.50276324,0.00000000,0.00000000,68920.34310003,120051.31284210,68920.34310003,65261.43814383,6409489.15655998,1391.27513775,13912.75138162
3,0.0992366412,744,27825.50276324,0.00000000,0.00000000,71161.49485822,197824.03899790,71161.49485977,67380.62640504,6623138.79511198,1391.27513693,14420.81925502
4,0.0687022901,744,27825.50276324,0.00000000,0.00000000,71210.56260515,95854.67781628,71210.56260588,67429.69415115,6623138.79511204,1391.27513693,27825.50276344
5,0.0992366412,744,27825.50276324,56.01244122,0.00000000,71177.44876911,74764.72253184,71233.46121148,67452.59275675,6623138.79511195,1391.27513816,27825.50276365
6,0.0916030534,720,27825.50276324,0.00000000,0.00000000,68758.25123775,131347.53492967,68758.25123818,65099.34628198,6409489.15655999,1391.27513734,14959.86413025
7,0.0839694656,720,27825.50276324,0.00000000,0.00000000,68932.56794791,195935.42944575,68932.56794874,65273.66299254,6409489.15656002,1391.27513673,26160.12174551
8,0.1068702290,696,27825.50276324,12.86771593,0.00000000,66648.67263496,45145.02133262,66661.54035089,63124.59889364,6195839.51800798,1391.27513796,27825.50276324
9,0.0381679389,720,27825.50276324,947.53963607,0.00000000,67909.32270531,30924.76258682,68856.86234139,65197.95738520,6409489.15655998,1391.27513816,27825.50276324
10,0.0610687023,744,27825.50276324,0.00000000,0.00000000,71017.56654316,175392.20732573,71017.56654316,67236.69808843,6623138.79511203,1391.27513775,27825.50276365
11,0.0534351145,744,27825.50276324,0.00000000,0.00000000,71165.69709367,67137.52292312,71165.69709440,67384.82864001,6623138.79511199,1391.27513755,27825.50276365
12,0.0610687023,744,27825.50276324,0.04231022,0.00000000,71042.07799758,66765.98164483,71042.12030780,67261.25185307,6623138.79511201,1391.27513693,27825.50276324
13,0.0992366412,720,27825.50276324,0.00000000,0.00000000,68704.58221859,164583.15075922,68704.58221859,65045.67726240,6409489.15656038,1391.27513775,27825.50276365
