scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0992366412,744,27001.85241901,0.00000000,0.00000000,71051.41343030,195402.58986273,71051.41343030,67270.54497557,6623138.79511198,1350.09261993,27001.85241901
2,0.1145038168,744,27001.85241901,62.06140070,0.00000000,71152.25473240,74647.77231020,71214.31613309,67433.44767836,6623138.79511195,1350.09262054,27001.85242024
3,0.0839694656,720,27001.85241901,0.00000000,0.00000000,69009.79072525,193005.65650677,69009.79072525,65350.88576906,6409489.15656001,1350.09262075,27001.85241942
4,0.1526717557,744,27001.85241901,0.46183064,0.00000000,70974.75199457,133810.21876645,70975.21382521,67194.34537048,6623138.79511199,1350.09262013,13500.92620950
5,0.1068702290,696,27001.85241901,17.73826323,0.00000000,66679.36751573,45856.44837465,66697.10577670,63160.16431905,6195839.51800800,1350.09262075,27001.85241901
6,0.0381679389,720,27001.85241901,925.11351993,0.00000000,67933.12083922,31584.36074224,68858.23436119,65199.32940216,6409489.15655999,4101.30291738,27001.85241901
7,0.0610687023,744,27001.85241901,0.00000000,0.00000000,70985.52334671,172730.26176596,70985.52334722,67204.65489249,6623138.79511198,1350.09262034,17503.01712348
8,0.0610687023,744,27001.85241901,2.85650245,0.00000000,71129.57409557,68158.68867991,71132.43059838,67351.56214329,6623138.79511197,1350.09261747,18539.67080345
9,0.0687022901,744,27001.85241901,0.00000000,0.00000000,71065.12322802,67067.86479679,71065.12322802,67284.25477270,6623138.79511200,1350.09262013,20994.77401663
10,0.0992366412,720,27001.85241901,0.00000000,0.00000000,68871.47104853,162880.68248247,68871.47104853,65212.56609234,6409489.15655999,1350.09262075,27001.85241901
11,0.1145038168,744,27001.85241901,0.00000000,0.00000000,71218.37311425,135931.88823541,71218.37311425,67437.50465952,6623138.79511202,5486.27581143,27001.85241921
