s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201705,2017-05,0.1450381679389313,19,744
2,M201907,2019-07,0.1755725190839694,23,744
3,M202002,2020-02,0.1068702290076335,14,696
4,M202004,2020-04,0.0381679389312977,5,720
5,M202112,2021-12,0.1145038167938931,15,744
6,M202305,2023-05,0.0763358778625954,10,744
7,M202408,2024-08,0.099236641221374,13,744
8,M202411,2024-11,0.099236641221374,13,720
9,M202509,2025-09,0.1450381679389313,19,720
