scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0687022901,744,23326.87476875,0.00000000,0.00000000,71381.32241901,157644.82799446,71381.32241901,67600.45396427,6623138.79511200,1166.34373823,11663.43738437
2,0.0687022901,720,23326.87476875,5.61885133,0.00000000,69339.92956713,121271.43186377,69345.54841846,65686.64346227,6409489.15656000,1166.34373741,13060.07298454
3,0.0687022901,744,23326.87476875,13.43182498,0.00000000,71520.68002205,97619.88555658,71534.11184702,67753.24339229,6623138.79511200,1166.34373803,14923.51519993
4,0.0916030534,720,23326.87476875,0.00000000,0.00000000,69143.92398607,132607.97574689,69143.92398606,65485.01902987,6409489.15656000,1166.34373577,11663.43738437
5,0.0839694656,720,23326.87476875,0.00000000,0.00000000,69168.22268358,197728.09775741,69168.22268358,65509.31772719,6409489.15656000,1166.34373721,11663.43738437
6,0.0534351145,744,23326.87476875,0.00000000,0.00000000,71598.00259482,176764.32523054,71598.00259481,67817.13413902,6623138.79511200,1166.34373700,11663.43738437
7,0.0381679389,720,23326.87476875,786.39036634,0.00000000,68069.77173772,32353.52132792,68856.16210544,65197.25714925,6409489.15656000,1166.34373844,18024.13203730
8,0.0534351145,744,23326.87476875,321.65301847,0.00000000,70935.68422066,63651.42317529,71257.33723913,67476.46878440,6623138.79511196,1166.34373680,23326.87476875
9,0.0610687023,744,23326.87476875,0.01778502,0.00000000,71523.07617672,176754.51252197,71523.09396174,67742.22550701,6623138.79511200,1166.34373700,11663.43738437
10,0.0534351145,744,23326.87476875,17.21326044,0.00000000,71330.75560447,69210.00197529,71347.96886567,67567.10041094,6623138.79511200,1166.34373680,16910.46819610
11,0.0916030534,720,23326.87476875,932.29536618,0.00000000,67935.63491670,36093.67287720,68867.93028440,65209.02532821,6409489.15656004,1166.34373680,15699.42411115
12,0.0610687023,744,23326.87476875,0.00000000,0.00000000,71367.24293617,176611.11283967,71367.24293617,67586.37448144,6623138.79511200,1166.34373803,11663.43738437
13,0.0610687023,672,23326.87476875,30.85963878,0.00000000,64517.48468476,75856.94265815,64548.34432355,61133.36636443,5982189.87945601,1166.34373454,21763.97487566
14,0.0610687023,744,23326.87476875,9.45975492,0.00000000,71513.03201457,68211.87119563,71522.49176937,67741.62331464,6623138.79511201,1166.34373721,11663.43738437
15,0.0839694656,720,23326.87476875,0.00000000,0.00000000,69131.22291939,166408.20055694,69131.22291955,65472.31796341,6409489.15656000,1166.34373803,11663.43738437
