scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0687022901,744,22251.72696286,0.00000000,0.00000000,71088.51464302,157301.53162124,71088.51464302,67307.64618829,6623138.79511197,1112.58634753,11170.35953192
2,0.0687022901,720,22251.72696286,0.00000000,0.00000000,68791.06797596,121167.89800588,68791.06797596,65132.16301977,6409489.15655995,1112.58634732,11780.54024979
3,0.0687022901,744,22251.72696286,0.00000000,0.00000000,71053.96479907,98041.61680515,71053.96479907,67273.09634434,6623138.79511196,1112.58634753,22251.72696286
4,0.0916030534,720,22251.72696286,0.00000000,0.00000000,68703.19869668,132281.20356692,68703.19869668,65044.29374049,6409489.15656000,1112.58634630,18807.24985750
5,0.0839694656,720,22251.72696286,0.00000000,0.00000000,68856.19816043,196896.28951974,68856.19816043,65197.29320424,6409489.15655999,1112.58634712,19756.16226897
6,0.0534351145,744,22251.72696286,0.00000000,0.00000000,70921.38259739,176718.58025270,70921.38259739,67140.51414266,6623138.79511200,1112.58634732,20763.44360607
7,0.0381679389,720,22251.72696286,714.04604815,0.00000000,68134.33943447,32569.55168684,68848.38548263,65189.48052644,6409489.15655998,1682.31050478,22251.72696286
8,0.0534351145,744,22251.72696286,247.94386442,0.00000000,70885.80751035,64031.32661748,71133.75137477,67352.88292004,6623138.79511194,1112.58634814,22251.72696306
9,0.0610687023,744,22251.72696286,0.00000000,0.00000000,70909.38966742,176287.79606065,70909.38966742,67128.52121269,6623138.79511200,1112.58634753,22251.72696327
10,0.0534351145,744,22251.72696286,0.37617819,0.00000000,71092.91707398,69852.12451090,71093.29325217,67312.42479744,6623138.79511197,1112.58634732,22251.72696347
11,0.0916030534,720,22251.72696286,907.54316582,0.00000000,67962.88903741,36501.80581972,68870.43220329,65211.52724710,6409489.15656002,1112.58634753,22251.72696286
12,0.0610687023,744,22251.72696286,0.00000000,0.00000000,70957.31479498,176269.62135165,70957.31479498,67176.44634025,6623138.79511200,1112.58634753,22251.72696286
13,0.0610687023,672,22251.72696286,2.82242889,0.00000000,64220.48726695,76060.74892536,64223.30969584,60808.33173673,5982189.87945597,1112.58634753,22251.72696347
14,0.0610687023,744,22251.72696286,0.82210601,0.00000000,70979.55871147,68882.43209291,70980.38081749,67199.51236276,6623138.79511202,1112.58634732,12245.90339052
15,0.0839694656,720,22251.72696286,0.00000000,0.00000000,68855.69623328,166071.65093577,68855.69623328,65196.79127709,6409489.15655997,1112.58634712,11475.02238106
