s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201502,2015-02,0.1679389312977099,22,672
2,M201903,2019-03,0.0534351145038167,7,744
3,M201911,2019-11,0.1374045801526717,18,720
4,M202206,2022-06,0.183206106870229,24,720
5,M202307,2023-07,0.2137404580152671,28,744
6,M202408,2024-08,0.099236641221374,13,744
7,M202509,2025-09,0.1450381679389313,19,720
