case,case_name,duration_h,direction,n_scenarios,n_events,probability_coverage,weighted_mean_phys_MW,weighted_mean_rm_MW,weighted_retained_ratio,weighted_loss_MW,weighted_loss_fraction,weighted_rm_zero_fraction
1,MONTHLY,1,DEC,9,180,1.0,85.23260983686481,85.23260983686481,1.0,0.0,0.0,0.017938931297750003
1,MONTHLY,1,INC,9,180,1.0,14.129954653519501,14.1299546541787,1.0000000000466527,-6.591989176740753e-10,-4.665258550634354e-11,0.028244274809000002
1,MONTHLY,4,DEC,9,180,1.0,75.7985779226475,75.7985779226475,1.0,0.0,0.0,0.03244274809165
1,MONTHLY,4,INC,9,180,1.0,12.398782888248224,12.398782888248224,1.0,0.0,0.0,0.03015267175555
1,MONTHLY,12,DEC,9,179,1.0,55.43574627212823,55.43574627212823,1.0,0.0,0.0,0.04588188027327369
1,MONTHLY,12,INC,9,179,1.0,9.942659029451576,9.942659029451576,1.0,0.0,0.0,0.0415026114904079
1,MONTHLY,24,DEC,9,177,1.0,35.09179868700926,35.09179868702147,1.0000000000003482,-1.2214229627716122e-11,-3.480650774460799e-13,0.039110911540194124
1,MONTHLY,24,INC,9,177,1.0,8.638840537119108,8.638840537119108,1.0,0.0,0.0,0.06811854512784411
2,HOURLY,1,DEC,9,180,1.0,85.26883046283263,80.26050985914188,0.9412643450542716,5.008320603690748,0.05873565494572836,0.027480916030500003
2,HOURLY,1,INC,9,180,1.0,14.063266640654117,9.362185161130931,0.6657190964485242,4.701081479523186,0.33428090355147577,0.06832061068685001
2,HOURLY,4,DEC,9,180,1.0,75.76010926402657,72.1523505585721,0.9523791776371215,3.607758705454472,0.047620822362878464,0.04389312977095
2,HOURLY,4,INC,9,180,1.0,12.298862178536996,8.866045767376912,0.7208834149592501,3.4328164111600845,0.27911658504074993,0.07022900763340001
2,HOURLY,12,DEC,9,179,1.0,55.48405510400528,52.346861720945505,0.9434577487680185,3.137193383059774,0.05654225123198154,0.05924065889912369
2,HOURLY,12,INC,9,179,1.0,9.836484636124172,8.274239165989563,0.8411784770753046,1.5622454701346093,0.1588215229246954,0.08214142225777368
2,HOURLY,24,DEC,9,177,1.0,35.068915867190384,32.32575368044602,0.9217779586590871,2.743162186744364,0.07822204134091294,0.058194881005694116
2,HOURLY,24,INC,9,177,1.0,8.588715545155559,7.572109740189161,0.8816347101471056,1.0166058049663977,0.1183652898528944,0.08300404131099412
