s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201804,2018-04,0.1374045801526717,18,720
2,M201809,2018-09,0.099236641221374,13,720
3,M201907,2019-07,0.1984732824427481,26,744
4,M202001,2020-01,0.2824427480916031,37,744
5,M202012,2020-12,0.2824427480916031,37,744
