case,case_name,primary_cost_star_USD,final_cost_USD,normalized_variability,weighted_el_energy_MWh,weighted_grid_import_MWh,weighted_grid_export_MWh,weighted_res_used_MWh,weighted_res_curt_MWh
0,NO_MATCH,2150.3508135678,2150.3608135678,5.2512558051,61398.7657145043,35.8393468928,0.0000000000,69684.3719619342,122646.3583666919
1,MONTHLY,2150.3508106638,2150.3608106638,5.2512468515,61398.7751009932,35.8393468444,0.0000000000,69684.3813484713,122646.3489801548
2,HOURLY,2730.5532737467,2730.5632737467,5.3851167295,61404.5422215673,45.5093878958,0.0000000000,69680.4784279946,122650.2519006319
