case,case_name,scenario,t,segment,y_seg,p_el_seg_MW
0,NO_MATCH,1,1,1,0,0.0000000000
0,NO_MATCH,1,1,2,0,0.0000000000
0,NO_MATCH,1,1,3,0,0.0000000000
0,NO_MATCH,1,1,4,0,0.0000000000
0,NO_MATCH,1,1,5,1,78.0874110294
0,NO_MATCH,1,1,6,0,0.0000000000
0,NO_MATCH,1,2,1,0,0.0000000000
0,NO_MATCH,1,2,2,0,0.0000000000
0,NO_MATCH,1,2,3,0,0.0000000000
0,NO_MATCH,1,2,4,0,0.0000000000
0,NO_MATCH,1,2,5,1,78.0874110294
0,NO_MATCH,1,2,6,0,0.0000000000
0,NO_MATCH,1,3,1,0,0.0000000000
0,NO_MATCH,1,3,2,0,0.0000000000
0,NO_MATCH,1,3,3,0,0.0000000000
0,NO_MATCH,1,3,4,0,0.0000000000
0,NO_MATCH,1,3,5,1,78.0874110294
0,NO_MATCH,1,3,6,0,0.0000000000
0,NO_MATCH,1,4,1,0,0.0000000000
0,NO_MATCH,1,4,2,0,0.0000000000
0,NO_MATCH,1,4,3,0,0.0000000000
0,NO_MATCH,1,4,4,0,0.0000000000
0,NO_MATCH,1,4,5,1,78.0874110294
0,NO_MATCH,1,4,6,0,0.0000000000
0,NO_MATCH,1,5,1,0,0.0000000000
0,NO_MATCH,1,5,2,0,0.0000000000
0,NO_MATCH,1,5,3,0,0.0000000000
0,NO_MATCH,1,5,4,0,0.0000000000
0,NO_MATCH,1,5,5,1,78.0874110294
0,NO_MATCH,1,5,6,0,0.0000000000
0,NO_MATCH,1,6,1,0,0.0000000000
0,NO_MATCH,1,6,2,0,0.0000000000
0,NO_MATCH,1,6,3,0,0.0000000000
0,NO_MATCH,1,6,4,0,0.0000000000
0,NO_MATCH,1,6,5,1,78.0874110294
0,NO_MATCH,1,6,6,0,0.0000000000
0,NO_MATCH,1,7,1,0,0.0000000000
0,NO_MATCH,1,7,2,0,0.0000000000
0,NO_MATCH,1,7,3,0,0.0000000000
0,NO_MATCH,1,7,4,0,0.0000000000
0,NO_MATCH,1,7,5,1,78.0874110294
0,NO_MATCH,1,7,6,0,0.0000000000
0,NO_MATCH,1,8,1,0,0.0000000000
0,NO_MATCH,1,8,2,0,0.0000000000
0,NO_MATCH,1,8,3,0,0.0000000000
0,NO_MATCH,1,8,4,0,0.0000000000
0,NO_MATCH,1,8,5,1,78.0874110294
0,NO_MATCH,1,8,6,0,0.0000000000
0,NO_MATCH,1,9,1,0,0.0000000000
0,NO_MATCH,1,9,2,0,0.0000000000
0,NO_MATCH,1,9,3,0,0.0000000000
0,NO_MATCH,1,9,4,0,0.0000000000
0,NO_MATCH,1,9,5,1,78.0874110294
