scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.1603053435,744,50658.36711608,0.00000000,0.00000000,71347.89796795,300532.05356608,71347.89796795,67567.02951322,6623138.79511198,2532.91835519,25958.14958214
2,0.1908396947,744,50658.36711608,0.00000000,0.00000000,71438.85190408,382193.62588341,71438.85190408,67657.98344931,6623138.79511197,2532.91835519,28122.45475919
3,0.2137404580,720,50658.36711608,0.00000000,0.00000000,68837.30894385,446482.71061616,68837.30894385,65178.40398766,6409489.15655999,2532.91835519,25329.18355804
4,0.2442748092,744,50658.36711608,0.00000000,0.00000000,71320.32651996,238728.99274388,71320.32652062,67539.45806580,6623138.79511195,2532.91835560,27883.05768440
5,0.0839694656,720,50658.36711608,507.19480162,0.00000000,68657.82633226,125560.45756892,69165.02113388,65506.11617769,6409489.15656002,2532.91835437,38749.41952619
6,0.1068702290,744,50658.36711608,0.00000000,0.00000000,71439.81066236,470420.62643493,71439.81066236,67658.94220758,6623138.79511197,2532.91835498,27773.29585853
