metric,K_min,K_max,min,max,K9_reference,range_over_K9_percent
total_RES_MW,8,13,671.3862880500001,672.2308594799999,671.3862880500001,0.1257951562360419
h2_storage_kg,8,13,27001.85241901,27030.17296613,27030.17296613,0.10477382869687372
objective_USD_per_year,8,13,94504716.06939146,94518907.63810264,94506949.73419316,0.015016428687087255
