scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.1374045802,720,52369.41249998,590.87800149,0.00000000,68555.06921442,66060.76404230,69145.94721591,65487.04225971,6409489.15656008,2618.47062500,52369.41250039
2,0.0992366412,720,52369.41249998,0.00000000,0.00000000,69278.18692128,234473.89288687,69278.18692128,65619.28196508,6409489.15656008,6980.96674753,52369.41250039
3,0.1984732824,744,52369.41249998,0.30601735,0.00000000,71511.42563649,166919.99190219,71511.73165384,67730.86319912,6623138.79511209,8377.60234769,52369.41250039
4,0.2824427481,744,52369.41249998,0.66187791,0.00000000,71313.66027322,99669.93212919,71314.32215113,67533.45369640,6623138.79511209,11759.42873035,52369.41250039
5,0.2824427481,744,52369.41249998,0.00000000,0.00000000,71584.04692832,194667.40424870,71584.04692832,67803.17847359,6623138.79511208,10011.27980655,52369.41250080
