s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201506,2015-06,0.0763358778625954,10,720
2,M201510,2015-10,0.099236641221374,13,744
3,M201705,2017-05,0.1068702290076335,14,744
4,M201806,2018-06,0.0916030534351145,12,720
5,M201809,2018-09,0.0839694656488549,11,720
6,M202002,2020-02,0.1068702290076335,14,696
7,M202004,2020-04,0.0381679389312977,5,720
8,M202108,2021-08,0.0610687022900763,8,744
9,M202201,2022-01,0.0610687022900763,8,744
10,M202305,2023-05,0.0610687022900763,8,744
11,M202411,2024-11,0.099236641221374,13,720
12,M202412,2024-12,0.1145038167938931,15,744
