case,case_name,primary_cost_star_USD,final_cost_USD,normalized_variability,weighted_el_energy_MWh,weighted_grid_import_MWh,weighted_grid_export_MWh,weighted_res_used_MWh,weighted_res_curt_MWh
0,NO_MATCH,2150.3508135678,2150.3518135678,5.2529272631,61398.7669802525,35.8391968928,0.0000000000,69684.3733776819,122646.3569509362
1,MONTHLY,2150.3508121642,2150.3518121642,5.2514090971,61398.7751112765,35.8391968694,0.0000000000,69684.3815087102,122646.3488198882
2,HOURLY,2730.5532737467,2730.5542737466,5.3851487153,61404.5422088924,45.5092378958,0.0000000000,69680.4785653194,122650.2517633005
