scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0687022901,744,22304.32870872,0.00000000,0.00000000,71057.93794121,157357.08222237,71057.93794121,67277.06948648,6623138.79511197,1115.21643441,11500.46804681
2,0.0687022901,720,22304.32870872,0.00000000,0.00000000,68821.77238280,121169.47699114,68821.77238280,65162.86742661,6409489.15656000,1115.21643482,22304.32870974
3,0.0992366412,744,22304.32870872,0.00000000,0.00000000,71000.26996861,199259.30253487,71000.26996861,67219.40151388,6623138.79511198,1115.21643441,16613.07805497
4,0.0687022901,744,22304.32870872,0.00000000,0.00000000,71089.45130925,97984.85864062,71089.45130925,67308.58285452,6623138.79511198,1115.21643462,22304.32870913
5,0.0916030534,720,22304.32870872,0.00000000,0.00000000,68693.62749014,132332.14140004,68693.62749014,65034.72253395,6409489.15656000,1115.21643421,13934.45228623
6,0.0839694656,720,22304.32870872,0.00000000,0.00000000,68868.04657158,196951.18012127,68868.04657158,65209.14161539,6409489.15656002,1115.21643482,22304.32870954
7,0.0381679389,720,22304.32870872,756.92635225,0.00000000,68096.39775906,32566.13260605,68853.32411131,65194.41915512,6409489.15655997,1115.21643544,19327.62925639
8,0.0534351145,744,22304.32870872,256.35480855,0.00000000,70947.87161564,63918.13444435,71204.22642419,67423.35796946,6623138.79511190,1115.21643339,22304.32870872
9,0.0610687023,744,22304.32870872,2.99830314,0.00000000,71007.82912797,176252.96983547,71010.82743111,67229.95897638,6623138.79511198,1115.21643462,12952.10316808
10,0.0534351145,744,22304.32870872,1.37811621,0.00000000,71194.29594462,69691.77819492,71195.67406083,67414.80560610,6623138.79511197,1115.21643339,15939.69333986
11,0.0916030534,720,22304.32870872,910.71375150,0.00000000,67959.51478694,36448.80434567,68870.22853845,65211.32358226,6409489.15656003,1115.21643544,22304.32870872
12,0.0610687023,672,22304.32870872,4.83117775,0.00000000,64398.62185296,75870.18275069,64403.45303071,60988.47507160,5982189.87945601,1115.21643482,22304.32870872
13,0.0610687023,744,22304.32870872,1.26049428,0.00000000,70994.27363543,68833.85380067,70995.53412972,67214.66567498,6623138.79511205,1115.21643482,22304.32870974
14,0.0992366412,720,22304.32870872,0.00000000,0.00000000,68790.30576255,166158.78776947,68790.30576255,65131.40080636,6409489.15655997,1115.21643380,21487.30313680
