scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.1679389313,672,29868.51940740,3.12619726,0.00000000,64424.36401575,176311.16612535,64427.49021301,61012.51225390,5982189.87945598,1493.42596996,29868.51940740
2,0.0534351145,744,29868.51940740,855.38898049,0.00000000,70424.68062220,60250.01455902,71280.06960175,67499.20114702,6623138.79511195,1493.42597037,16384.88584588
3,0.1374045802,720,29868.51940740,0.00000000,0.00000000,68982.12858645,274889.14488789,68982.12858692,65323.22363073,6409489.15656001,1493.42596955,16335.17825502
4,0.1832061069,720,29868.51940740,89.61555921,0.00000000,68869.71374297,130805.44634982,68959.32930218,65300.42434599,6409489.15656000,1493.42596975,29868.51940740
5,0.2137404580,744,29868.51940740,0.00000000,0.00000000,71348.25204602,233639.66358023,71348.25204602,67567.38359129,6623138.79511197,1493.42596955,14934.25970370
6,0.0992366412,744,29868.51940740,0.00000000,0.00000000,71199.89312787,293598.79437424,71199.89312877,67419.02467320,6623138.79511202,1493.42596914,14934.25970370
7,0.1450381679,720,29868.51940740,0.00000000,0.00000000,68927.44653596,315727.55638948,68927.44653596,65268.54157977,6409489.15655998,1493.42596975,16158.09976348
