case,case_name,duration_h,direction,n_scenarios,n_events,probability_coverage,weighted_mean_phys_MW,weighted_mean_rm_MW,weighted_retained_ratio,weighted_loss_MW,weighted_loss_fraction,weighted_rm_zero_fraction
1,MONTHLY,1,DEC,9,180,1.0,85.23260787241878,85.23260787241878,1.0,0.0,0.0,0.017938931297750003
1,MONTHLY,1,INC,9,180,1.0,14.129946796421219,14.129946797080418,1.0000000000466527,-6.591989176740753e-10,-4.665261144798046e-11,0.028244274809000002
1,MONTHLY,4,DEC,9,180,1.0,75.79857789181231,75.79857789181231,1.0,0.0,0.0,0.03244274809165
1,MONTHLY,4,INC,9,180,1.0,12.398779092674943,12.398779092674943,1.0,0.0,0.0,0.03015267175555
1,MONTHLY,12,DEC,9,179,1.0,55.436139384838,55.43613938942731,1.0000000000827856,-4.589310265146196e-09,-8.278553153362966e-11,0.04588188027327369
1,MONTHLY,12,INC,9,179,1.0,9.94265371280219,9.94265371280219,1.0,0.0,0.0,0.0415026114904079
1,MONTHLY,24,DEC,9,177,1.0,35.092421614770295,35.092421614770295,1.0,0.0,0.0,0.039110911540194124
1,MONTHLY,24,INC,9,177,1.0,8.638839018205786,8.638839018205786,1.0,0.0,0.0,0.06811854512784411
2,HOURLY,1,DEC,9,180,1.0,85.26884308999294,80.2605224863035,0.9412643537522416,5.008320603689441,0.058735646247758365,0.027480916030500003
2,HOURLY,1,INC,9,180,1.0,14.063244191985719,9.36216805597345,0.6657189428104157,4.701076136012269,0.3342810571895844,0.06832061068685001
2,HOURLY,4,DEC,9,180,1.0,75.76012378171404,72.15236507625886,0.9523791867625488,3.6077587054551827,0.04762081323745111,0.04389312977095
2,HOURLY,4,INC,9,180,1.0,12.298843802323024,8.866029261391414,0.720883149984943,3.4328145409316093,0.27911685001505704,0.07022900763340001
2,HOURLY,12,DEC,9,179,1.0,55.392475408268254,52.25527403696715,0.9433641239504378,3.137201371301103,0.056635876049562196,0.05924065889912369
2,HOURLY,12,INC,9,179,1.0,9.836466122049455,8.274225277524739,0.8411786483945904,1.562240844524716,0.15882135160540958,0.08214142225777368
2,HOURLY,24,DEC,9,177,1.0,35.059664115924264,32.31651267242831,0.9217576233923472,2.743151443495954,0.07824237660765271,0.058194881005694116
2,HOURLY,24,INC,9,177,1.0,8.588700828598306,7.57209755209584,0.8816348017249103,1.0166032765024662,0.11836519827508976,0.08300404131099412
