scenario,case,duration,start,direction,envelope,deltaP_MW,baseline_window_avg_MW,activated_window_avg_MW,grid_import_MWh,grid_export_MWh,res_used_MWh,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW
3,2,1,1,INC,PHYS,0.00000000,107.32720193,107.32720193,34529.27205931,0.00000000,36582.80437809,2408.99999926,24090.00000000,-30748.40360458,-10524.35383379,-101.68074366
3,2,1,1,INC,RM,0.00000000,107.32720193,107.32720193,10264.14705576,6982.40737903,67781.72537300,2409.00000000,24090.00000000,499.12877800,-0.00000000,-101.68074366
3,2,1,1,DEC,PHYS,104.93292143,107.32720193,2.39428050,31649.25266391,13712.79750329,53211.29802414,2408.99999918,24090.00000000,-14155.58670589,-8392.51237749,-101.68074366
3,2,1,1,DEC,RM,104.93292143,107.32720193,2.39428050,9733.36115651,6436.30222625,67762.80229554,2408.99999950,24090.00000000,483.80952442,-0.00000005,-101.68074366
3,2,1,169,INC,PHYS,0.59857013,106.72863180,107.32720193,28553.88717895,9221.82836423,51878.61762497,2408.99999950,34407.59400809,-15551.19035999,-7203.30732653,-101.68074366
3,2,1,169,INC,RM,0.59857013,106.72863180,107.32720193,17903.36240861,16086.14451509,69317.89598407,16132.81470719,48180.00000000,1963.65056121,-0.00000000,-101.68074366
3,2,1,169,DEC,PHYS,104.33435130,106.72863180,2.39428050,29332.19758823,9194.67396616,51001.69661669,2408.99999975,34407.59400809,-16356.65516734,-8621.25734805,-101.68074366
3,2,1,169,DEC,RM,104.33435130,106.72863180,2.39428050,17654.12659036,15836.90869684,69247.15693543,9103.10364537,37578.09042798,1963.65056121,-0.00000000,-101.68074366
3,2,1,337,INC,PHYS,63.84856236,43.47863956,107.32720193,30599.21705213,13141.12306746,53559.76853154,2408.99999950,37426.61199480,-13677.22552995,-7430.55386529,-101.68074369
3,2,1,337,INC,RM,63.84856236,43.47863956,107.32720193,22351.99690571,17322.18495386,66006.27346950,2409.00000000,35442.48649368,-1248.94349719,-2103.42046224,-101.68074369
