case,case_name,primary_cost_star_USD,final_cost_USD,weighted_el_energy_MWh,weighted_grid_import_MWh,weighted_grid_export_MWh,weighted_res_used_MWh,weighted_res_curt_MWh
0,NO_MATCH,6660.3638776232,6660.3648776232,61161.7860188206,111.0060812937,0.0000000000,69348.4509646194,81765.6410814430
1,MONTHLY,6660.3638658267,6660.3648658267,61165.4879347988,111.0060810971,0.0000000000,69352.1528807915,81761.9391652707
2,WEEKLY,6660.3638056011,6660.3648056011,61162.7829511100,111.0060550108,15.0495386520,69364.4974618437,81749.5945842187
3,HOURLY,7973.1613061017,7973.1623061017,61178.6559355205,132.8860384350,0.0000000000,69343.4409241780,81770.6511218844
