scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0992366412,744,27030.17296613,0.00000000,0.00000000,71067.84339289,195472.79561584,71067.84339289,67286.97493816,6623138.79511203,10913.50607094,27030.17296654
2,0.1450381679,744,27030.17296613,69.51041902,0.00000000,71230.04498200,74551.53929313,71299.55540102,67518.68694628,6623138.79511199,1351.50864831,27030.17296695
3,0.0839694656,720,27030.17296613,0.00000000,0.00000000,68761.69526890,193358.18352928,68761.69526890,65102.79031271,6409489.15656003,6583.25782544,27030.17296654
4,0.1679389313,744,27030.17296613,0.00000000,0.00000000,71180.30283636,133663.92847859,71180.30283636,67399.43438163,6623138.79511204,8626.86188126,27030.17296695
5,0.1068702290,696,27030.17296613,48.27135649,0.00000000,66674.96584339,45801.49119340,66723.23719989,63186.29574223,6195839.51800802,3742.73482638,27030.17296634
6,0.0381679389,720,27030.17296613,925.79327212,0.00000000,67932.38106681,31531.17155931,68858.17433893,65199.26938274,6409489.15655999,10109.72662701,27030.17296613
7,0.0687022901,744,27030.17296613,0.00000000,0.00000000,71244.30756929,172570.76959346,71244.30756929,67463.43911456,6623138.79511204,6278.59497610,27030.17296654
8,0.1068702290,744,27030.17296613,0.00000000,0.00000000,71141.46439877,139179.73804233,71141.46439877,67360.59594404,6623138.79511200,9490.37685122,27030.17296675
9,0.0763358779,744,27030.17296613,0.34960693,0.00000000,71167.70708800,66923.46200253,71168.05669494,67387.18824020,6623138.79511206,13515.08648307,27030.17296654
10,0.1068702290,720,27030.17296613,0.00000000,0.00000000,68743.07626841,163049.13677319,68743.07626841,65084.17131222,6409489.15656002,5674.68170819,27030.17296654
